combo,size,matches,avg_points,avg_score_final
Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Clinton Mata + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Afonso Moreira + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Ainsley Maitland-Niles + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Adam Karabec + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Ainsley Maitland-Niles + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Afonso Moreira + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,10,3,2.0,60.07
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,10,3,2.0,60.07
